probe	HUGO.gene.symbol
AB029004	AB029004	ERC1
AB029008	AB029008	NA
AB029009	AB029009	NA
AB029010	AB029010	SLC8A2
AB029011	AB029011	TNFRSF6B
AB029012	AB029012	SMG5
AB029013	AB029013	WHSC1
AB029015	AB029015	PLCL2
AB029016	AB029016	TNRC6B
AB029018	AB029018	PDZRN3
AB029020	AB029020	USP33
AB029021	AB029021	TRIM35
AB029025	AB029025	NA
AB029029	AB029029	MYT1L
AB029030	AB029030	NA
AB029031	AB029031	TBC1D1
AB029032	AB029032	NA
AB029033	AB029033	NA
AB029034	AB029034	PHF8
AB029041	AB029041	AZI1
AB029396	AB029396	B3GAT1
AB030388	AB030388	NA
AB031038	AB031038	EOMES
AB031547	AB031547	LRRC21
AB032945	AB032945	NA
AB032948	AB032948	SMARCAD1
AB032951	AB032951	PRKCBP1
AB032952	AB032952	NA
AB032953	AB032953	NA
AB032954	AB032954	KIAA1128
AB032956	AB032956	NA
AB032957	AB032957	HECTD1
AB032958	AB032958	DSCAML1
AB032959	AB032959	NA
AB032960	AB032960	NA
AB032961	AB032961	SPIRE1
AB032962	AB032962	GPR158
AB032963	AB032963	ATP8B2
AB032964	AB032964	REXO1
AB032965	AB032965	CASKIN2
AB032966	AB032966	TTC7A
AB032967	AB032967	ZNF473
AB032969	AB032969	NA
AB032970	AB032970	NA
AB032971	AB032971	TMCC3
AB032973	AB032973	NA
AB032976	AB032976	GATAD2B
AB032977	AB032977	NAV1
AB032981	AB032981	NA
AB032982	AB032982	NA
AB032983	AB032983	NA
AB032985	AB032985	NA
AB032986	AB032986	RAB43
AB032988	AB032988	NA
AB032989	AB032989	NA
AB032990	AB032990	FAM63B
AB032991	AB032991	NA
AB032993	AB032993	GRIPAP1
AB032996	AB032996	FAM40B
AB032997	AB032997	TBC1D24
AB032999	AB032999	GUP1
AB033006	AB033006	NDRG4
AB033007	AB033007	ERGIC1
AB033009	AB033009	NA
AB033011	AB033011	LRRC47
AB033015	AB033015	KIAA1189
AB033016	AB033016	ZBTB47
AB033017	AB033017	KIAA1191
AB033019	AB033019	NA
AB033022	AB033022	NA
AB033024	AB033024	ZNF490
AB033025	AB033025	KIAA1199
AB033026	AB033026	PLEKHH1
AB033027	AB033027	NA
AB033028	AB033028	SHROOM4
AB033029	AB033029	USP31
AB033030	AB033030	NA
AB033031	AB033031	NA
AB033032	AB033032	PLXNB3
AB033034	AB033034	GNPTAB
AB033035	AB033035	PLEKHG1
AB033036	AB033036	NA
AB033037	AB033037	NA
AB033040	AB033040	RNF150
AB033041	AB033041	VANGL2
AB033043	AB033043	KIAA1217
AB033044	AB033044	NA
AB033045	AB033045	KIAA1219
AB033046	AB033046	GRID1
AB033049	AB033049	ANKRD50
AB033050	AB033050	ZMIZ1
AB033052	AB033052	NA
AB033053	AB033053	ZNF295
AB033054	AB033054	FAM62B
AB033055	AB033055	ODF2L
AB033058	AB033058	DLG3
AB033059	AB033059	ADAMTSL3
AB033060	AB033060	AHRR
AB033061	AB033061	ARID1B
AB033062	AB033062	NA
AB033063	AB033063	NA
AB033064	AB033064	NA
AB033065	AB033065	NA
AB033066	AB033066	NA
AB033067	AB033067	NA
AB033068	AB033068	FZR1
AB033070	AB033070	KIAA1244
AB033072	AB033072	LRFN2
AB033073	AB033073	SULF2
AB033076	AB033076	NA
AB033078	AB033078	NA
AB033079	AB033079	SERINC1
AB033080	AB033080	CCPG1
AB033081	AB033081	ANKFY1
AB033083	AB033083	NA
AB033085	AB033085	INOC1
AB033086	AB033086	NLGN4X
AB033087	AB033087	TLE4
AB033088	AB033088	NA
AB033089	AB033089	FSTL5
AB033090	AB033090	PAK7
AB033091	AB033091	SLC39A10
AB033092	AB033092	NA
AB033093	AB033093	KIAA1267
AB033094	AB033094	NA
AB033096	AB033096	AARSL
AB033097	AB033097	NA
AB033099	AB033099	NA
AB033100	AB033100	KIAA1274
AB033101	AB033101	FILIP1
AB033102	AB033102	NA
AB033103	AB033103	NA
AB033104	AB033104	STK36
AB033105	AB033105	KIAA1279
AB033107	AB033107	NA
AB033108	AB033108	KCNH3
AB033109	AB033109	CPAMD8
AB033110	AB033110	INTU
AB033111	AB033111	ZNF777
AB033112	AB033112	BRPF3
AB033113	AB033113	INTS2
AB033114	AB033114	MTUS1
AB033117	AB033117	XPO5
AB033118	AB033118	ZDHHC8
AB033768	AB033768	PADI1
AB035266	AB035266	NRXN2
AB035301	AB035301	CDH7
AB035356	AB035356	NRXN1
AB035863	AB035863	SUCLA2
AB036063	AB036063	RRM2B
AB037716	AB037716	SH3PXD2B
AB037719	AB037719	NA
AB037720	AB037720	SH2B1
AB037721	AB037721	NA
AB037722	AB037722	HECW2
AB037723	AB037723	NA
AB037724	AB037724	NA
AB037725	AB037725	SRGAP1
AB037726	AB037726	NA
AB037727	AB037727	CASKIN1
AB037728	AB037728	NA
AB037729	AB037729	RALGDS
AB037730	AB037730	KLHL13
AB037732	AB037732	NA
AB037734	AB037734	PCDH19
AB037735	AB037735	ARHGAP28
AB037737	AB037737	NA
AB037738	AB037738	KCTD16
AB037739	AB037739	RGAG1
AB037741	AB037741	HACE1
AB037742	AB037742	NUFIP2
AB037743	AB037743	TBC1D14
AB037744	AB037744	MIB1
AB037745	AB037745	NA
AB037748	AB037748	FAM44A
AB037749	AB037749	KIAA1328
AB037750	AB037750	SORCS2
AB037751	AB037751	ALPK3
AB037752	AB037752	ASB6
AB037753	AB037753	NA
AB037755	AB037755	RAI14
AB037756	AB037756	CHD6
AB037757	AB037757	WDR35
AB037758	AB037758	NA
AB037759	AB037759	EIF2AK4
AB037760	AB037760	ZNF398
AB037761	AB037761	KLHDC5
AB037763	AB037763	SYT4
AB037765	AB037765	KIAA1344
AB037766	AB037766	NA
AB037769	AB037769	NA
AB037770	AB037770	ZNF624
AB037771	AB037771	NA
AB037774	AB037774	ZMYM6
AB037776	AB037776	IGSF9
AB037778	AB037778	NA
AB037779	AB037779	NA
AB037780	AB037780	MUC20
AB037782	AB037782	TAOK1
AB037784	AB037784	AADACL1
AB037785	AB037785	NA
AB037786	AB037786	LRRC7
AB037787	AB037787	NLGN2
AB037789	AB037789	SEMA6A
AB037791	AB037791	KIAA1370
AB037792	AB037792	NA
AB037793	AB037793	NA
AB037794	AB037794	NA
AB037795	AB037795	IFT80
AB037797	AB037797	ARRDC3
AB037798	AB037798	KIAA1377
AB037799	AB037799	KLHL8
AB037800	AB037800	PACSIN1
AB037801	AB037801	JMJD1C
AB037802	AB037802	COG1
AB037804	AB037804	NA
AB037805	AB037805	KLHL14
AB037806	AB037806	GPHN
AB037808	AB037808	SMEK2
AB037809	AB037809	ZNF319
AB037810	AB037810	SIPA1L2
AB037812	AB037812	ARHGAP20
AB037813	AB037813	STOX2
AB037814	AB037814	NA
AB037815	AB037815	NA
AB037817	AB037817	NA
AB037820	AB037820	MARCH4
AB037821	AB037821	PCDH10
AB037823	AB037823	NA
AB037824	AB037824	RPAP1
AB037825	AB037825	ZNFX1
AB037826	AB037826	KIF17
AB037828	AB037828	KIAA1407
AB037829	AB037829	UPF2
AB037830	AB037830	KIAA1409
AB037831	AB037831	DNAH1
AB037832	AB037832	NA
AB037834	AB037834	NA
AB037835	AB037835	HEATR5B
AB037836	AB037836	NA
AB037838	AB037838	NA
AB037844	AB037844	NA
AB037845	AB037845	ARHGAP21
AB037847	AB037847	CRAMP1L
AB037848	AB037848	SYT13
AB037850	AB037850	KIAA1429
AB037851	AB037851	NA
AB037852	AB037852	ZFP28
AB037853	AB037853	NA
AB037854	AB037854	NA
AB037855	AB037855	NA
AB037856	AB037856	WDFY1
AB037857	AB037857	PTGFRN
AB037858	AB037858	LRRC8A
AB037859	AB037859	MKL1
AB037860	AB037860	NFIA
AB037861	AB037861	NA
AB037862	AB037862	ZNF687
AB037863	AB037863	NA
AB037864	AB037864	KIAA1443
AB037903	AB037903	NA
AB040878	AB040878	SEMA5B
AB040879	AB040879	NA
AB040881	AB040881	KIF1B
AB040882	AB040882	WDR48
AB040883	AB040883	NA
AB040884	AB040884	OSBPL8
AB040886	AB040886	NA
AB040887	AB040887	NA
AB040889	AB040889	NA
AB040890	AB040890	PITPNM2
AB040891	AB040891	NA
AB040892	AB040892	EPHA8
AB040893	AB040893	TNRC6A
AB040895	AB040895	NA
AB040896	AB040896	DIP2B
AB040897	AB040897	RANBP10
AB040898	AB040898	ISLR2
AB040899	AB040899	NA
AB040900	AB040900	KIAA1467
AB040901	AB040901	KIAA1468
AB040903	AB040903	RCC2
AB040906	AB040906	NA
AB040907	AB040907	TSHZ3
AB040908	AB040908	VPS18
AB040912	AB040912	SEMA6D
AB040914	AB040914	SHROOM3
AB040915	AB040915	STIM2
AB040916	AB040916	ZBTB2
AB040917	AB040917	NA
AB040918	AB040918	ZFAT1
AB040919	AB040919	NA
AB040920	AB040920	ATP10D
AB040921	AB040921	DHX36
AB040922	AB040922	KBTBD2
AB040923	AB040923	KLHL1
AB040924	AB040924	UBAP2
AB040925	AB040925	DPP10
AB040926	AB040926	NA
AB040927	AB040927	SH3RF1
AB040928	AB040928	LRCH2
AB040929	AB040929	CNTN3
AB040930	AB040930	LRRN1
AB040933	AB040933	FRAS1
AB040934	AB040934	NA
AB040936	AB040936	NA
AB040937	AB040937	NA
AB040938	AB040938	NA
AB040941	AB040941	NA
AB040942	AB040942	NA
AB040943	AB040943	NA
AB040944	AB040944	NA
AB040945	AB040945	MYH7B
AB040948	AB040948	USP28
AB040950	AB040950	DHX37
AB040954	AB040954	GAPVD1
AB040955	AB040955	KIAA1522
AB040956	AB040956	PHF12
AB040957	AB040957	NA
AB040959	AB040959	DFNB31
AB040960	AB040960	ALPK1
AB040961	AB040961	DTX2
AB040962	AB040962	KIAA1529
AB040964	AB040964	GPR124
AB040965	AB040965	NA
AB040966	AB040966	GRAMD1A
AB040967	AB040967	OSBPL5
AB040968	AB040968	HCN3
AB040969	AB040969	CALCOCO1
AB040971	AB040971	ZBTB4
AB040972	AB040972	KIAA1539
AB040975	AB040975	NA
AB040976	AB040976	NA
AB041269	AB041269	NA
AB043635	AB043635	PARD6G
AF000416	AF000416	EXTL2
AF000560	AF000560	ZNF787
AF000671	AF000671	ETV2
AF000974	AF000974	TRIP6
AF000986	AF000986	USP9Y
AF000990	AF000990	NA
AF000991	AF000991	NA
AF000993	AF000993	UTX
AF001903	AF001903	NA
AF003738	AF003738	NA
AF004711	AF004711	KCNK2
AF004819	AF004819	CDKN2B
AF004849	AF004849	HIPK3
AF004876	AF004876	YIF1A
AF005081	AF005081	NA
AF005082	AF005082	NA
AF005487	AF005487	NA
AF006061	AF006061	GH2
AF007128	AF007128	NA
AF007130	AF007130	MDM1
AF007131	AF007131	NA
AF007132	AF007132	NA
AF007136	AF007136	NA
AF007142	AF007142	DICER1
AF007143	AF007143	NA
AF007146	AF007146	NA
AF007147	AF007147	NA
AF007149	AF007149	NA
AF007150	AF007150	ANGPTL2
AF007151	AF007151	MMS19L
AF007152	AF007152	ABHD3
AF007153	AF007153	ERBB4
AF007155	AF007155	NA
AF007157	AF007157	PRNPIP
AF007192	AF007192	NA
AF007194	AF007194	NA
AF007217	AF007217	TRIP11
AF007872	AF007872	TOR1B
AF009267	AF009267	NA
AF009314	AF009314	NA
AF009674	AF009674	AXIN1
AF010236	AF010236	NA
AF011573	AF011573	ZNF197
AF011757	AF011757	NA
AF013620	AF013620	NA
AF014459	AF014459	RS1
AF015041	AF015041	NUMBL
AF015124	AF015124	NA
AF015128	AF015128	NA
AF015592	AF015592	CDC7
AF016004	AF016004	GPM6B
AF016267	AF016267	TNFRSF10C
AF016495	AF016495	AQP9
AF016903	AF016903	AGRIN
AF017418	AF017418	MEIS2
AF017433	AF017433	ZNF213
AF018081	AF018081	COL18A1
AF018171	AF018171	NA
AF019083	AF019083	PTEN
AF019225	AF019225	APOL1
AF019618	AF019618	NA
AF019633	AF019633	NUDT6
AF020089	AF020089	NA
AF020762	AF020762	ACBD3
AF020919	AF020919	NA
AF022789	AF022789	NA
AF022913	AF022913	PIGK
AF023142	AF023142	SFRS15
AF023203	AF023203	NA
AF024616	AF024616	ZNRD1
AF025304	AF025304	EPHB2
AF025441	AF025441	OIP5
AF025771	AF025771	ZNF189
AF026004	AF026004	CLCN2
AF026816	AF026816	ITPA
AF026941	AF026941	RSAD2
AF027205	AF027205	SPINT2
AF027302	AF027302	ABCF1
AF028828	AF028828	NA
AF029325	AF029325	NA
AF029900	AF029900	ADAM21
AF030107	AF030107	RGS13
AF031166	AF031166	SFRS2B
AF031167	AF031167	IL15
AF034102	AF034102	SLC29A2
AF034187	AF034187	STK38
AF034374	AF034374	MOCS1
AF034803	AF034803	PPFIBP2
AF035121	AF035121	KDR
AF035191	AF035191	NASP
AF035278	AF035278	NA
AF035281	AF035281	NA
AF035282	AF035282	C1orf21
AF035284	AF035284	FADS1
AF035288	AF035288	NA
AF035290	AF035290	NA
AF035291	AF035291	NA
AF035300	AF035300	CDH22
AF035306	AF035306	NA
AF035307	AF035307	NA
AF035308	AF035308	NA
AF035314	AF035314	NA
AF035315	AF035315	NA
AF035317	AF035317	NA
AF035318	AF035318	NA
AF038174	AF038174	NA
AF038181	AF038181	NA
AF038182	AF038182	C5orf30
AF038185	AF038185	NA
AF038186	AF038186	ISCA1
AF038188	AF038188	C14orf79
AF038190	AF038190	NA
AF038192	AF038192	NA
AF038193	AF038193	ARL3
AF038196	AF038196	RFNG
AF038199	AF038199	NA
AF038201	AF038201	NA
AF038202	AF038202	STX6
AF038535	AF038535	SYT7
AF038554	AF038554	DENR
AF038564	AF038564	ITCH
AF038951	AF038951	ZNF253
AF039023	AF039023	RANBP6
AF039196	AF039196	HR
AF039442	AF039442	TDRD6
AF040257	AF040257	NA
AF040723	AF040723	HAP1
AF040964	AF040964	C4orf15
AF040965	AF040965	C4orf9
AF041037	AF041037	SPRY1
AF041261	AF041261	LILRA4
AF041410	AF041410	NA
AF041429	AF041429	SFT2D1
AF042838	AF042838	NA
