probe	HUGO.gene.symbol
NM_017653	NM_017653	NA
NM_017654	NM_017654	SAMD9
NM_017655	NM_017655	GIPC2
NM_017656	NM_017656	ZNF562
NM_017657	NM_017657	AFTPH
NM_017658	NM_017658	NA
NM_017659	NM_017659	QPCTL
NM_017660	NM_017660	GATAD2A
NM_017661	NM_017661	SUHW4
NM_017662	NM_017662	TRPM6
NM_017664	NM_017664	ANKRD10
NM_017665	NM_017665	ZCCHC10
NM_017667	NM_017667	NA
NM_017668	NM_017668	NDE1
NM_017669	NM_017669	NA
NM_017670	NM_017670	OTUB1
NM_017671	NM_017671	C20orf42
NM_017673	NM_017673	C1orf26
NM_017674	NM_017674	NA
NM_017675	NM_017675	NA
NM_017676	NM_017676	ZH2C2
NM_017677	NM_017677	MTMR8
NM_017678	NM_017678	FAM55D
NM_017679	NM_017679	BCAS3
NM_017680	NM_017680	ASPN
NM_017681	NM_017681	NUP62CL
NM_017682	NM_017682	BEST2
NM_017684	NM_017684	VPS13C
NM_017685	NM_017685	NA
NM_017686	NM_017686	GDAP2
NM_017687	NM_017687	NA
NM_017688	NM_017688	BSPRY
NM_017689	NM_017689	NA
NM_017690	NM_017690	NA
NM_017691	NM_017691	LRRC49
NM_017692	NM_017692	APTX
NM_017693	NM_017693	BIVM
NM_017694	NM_017694	NA
NM_017695	NM_017695	SYTL2
NM_017696	NM_017696	NA
NM_017697	NM_017697	RBM35A
NM_017698	NM_017698	NA
NM_017699	NM_017699	SIDT1
NM_017700	NM_017700	NA
NM_017701	NM_017701	PRR5
NM_017702	NM_017702	NA
NM_017703	NM_017703	FBXL12
NM_017704	NM_017704	ANKRD49
NM_017705	NM_017705	PAQR5
NM_017706	NM_017706	NA
NM_017707	NM_017707	DDEFL1
NM_017708	NM_017708	FAM83E
NM_017709	NM_017709	FAM46C
NM_017710	NM_017710	GON4L
NM_017711	NM_017711	GDPD2
NM_017712	NM_017712	PGPEP1
NM_017713	NM_017713	NA
NM_017714	NM_017714	TASP1
NM_017715	NM_017715	NA
NM_017716	NM_017716	MS4A12
NM_017718	NM_017718	DOCK10
NM_017719	NM_017719	NA
NM_017720	NM_017720	NA
NM_017721	NM_017721	CC2D1A
NM_017722	NM_017722	TRMT1
NM_017723	NM_017723	NA
NM_017724	NM_017724	LRRFIP2
NM_017726	NM_017726	PPP1R14D
NM_017727	NM_017727	NA
NM_017728	NM_017728	NA
NM_017729	NM_017729	EPS8L1
NM_017730	NM_017730	QRICH1
NM_017731	NM_017731	NA
NM_017732	NM_017732	NA
NM_017733	NM_017733	PIGG
NM_017734	NM_017734	PALMD
NM_017735	NM_017735	TTC27
NM_017737	NM_017737	FNBP1L
NM_017738	NM_017738	C9orf39
NM_017739	NM_017739	POMGNT1
NM_017740	NM_017740	ZDHHC7
NM_017741	NM_017741	C4orf30
NM_017742	NM_017742	ZCCHC2
NM_017743	NM_017743	DPP8
NM_017744	NM_017744	ST7L
NM_017745	NM_017745	BCOR
NM_017746	NM_017746	TEX10
NM_017748	NM_017748	CCDC49
NM_017749	NM_017749	NA
NM_017750	NM_017750	RETSAT
NM_017751	NM_017751	SMPD4
NM_017752	NM_017752	TBC1D8B
NM_017753	NM_017753	NA
NM_017754	NM_017754	NA
NM_017755	NM_017755	NSUN2
NM_017756	NM_017756	NA
NM_017757	NM_017757	ZNF407
NM_017759	NM_017759	NA
NM_017760	NM_017760	NCAPG2
NM_017761	NM_017761	PNRC2
NM_017762	NM_017762	MTMR10
NM_017763	NM_017763	RNF43
NM_017765	NM_017765	NA
NM_017766	NM_017766	CASZ1
NM_017767	NM_017767	SLC39A4
NM_017768	NM_017768	LRRC40
NM_017769	NM_017769	KIAA1333
NM_017770	NM_017770	ELOVL2
NM_017772	NM_017772	TBC1D22B
NM_017773	NM_017773	NA
NM_017774	NM_017774	CDKAL1
NM_017775	NM_017775	TTC19
NM_017776	NM_017776	ZNF673
NM_017777	NM_017777	MKS1
NM_017778	NM_017778	WHSC1L1
NM_017779	NM_017779	DEPDC1
NM_017780	NM_017780	CHD7
NM_017782	NM_017782	NA
NM_017784	NM_017784	OSBPL10
NM_017785	NM_017785	CCDC99
NM_017786	NM_017786	NA
NM_017787	NM_017787	C10orf26
NM_017789	NM_017789	SEMA4C
NM_017790	NM_017790	RGS3
NM_017791	NM_017791	C14orf58
NM_017792	NM_017792	MAP4K4
NM_017793	NM_017793	RPP25
NM_017794	NM_017794	KIAA1797
NM_017795	NM_017795	NA
NM_017797	NM_017797	BTBD2
NM_017798	NM_017798	YTHDF1
NM_017799	NM_017799	C14orf101
NM_017801	NM_017801	CMTM6
NM_017802	NM_017802	HEATR2
NM_017803	NM_017803	DUS2L
NM_017805	NM_017805	RASIP1
NM_017807	NM_017807	OSGEP
NM_017808	NM_017808	NA
NM_017809	NM_017809	NA
NM_017810	NM_017810	ZNF434
NM_017811	NM_017811	UBE2R2
NM_017812	NM_017812	CHCHD3
NM_017813	NM_017813	IMPAD1
NM_017814	NM_017814	TMEM161A
NM_017815	NM_017815	C14orf94
NM_017816	NM_017816	NA
NM_017817	NM_017817	RAB20
NM_017818	NM_017818	WDR8
NM_017819	NM_017819	RG9MTD1
NM_017820	NM_017820	NA
NM_017821	NM_017821	NXN
NM_017822	NM_017822	C12orf41
NM_017823	NM_017823	DUSP23
NM_017824	NM_017824	MARCH5
NM_017825	NM_017825	ADPRHL2
NM_017826	NM_017826	SOHLH2
NM_017827	NM_017827	SARS2
NM_017828	NM_017828	COMMD4
NM_017829	NM_017829	CECR5
NM_017830	NM_017830	OCIAD1
NM_017831	NM_017831	RNF125
NM_017832	NM_017832	C9orf6
NM_017833	NM_017833	C21orf55
NM_017834	NM_017834	NA
NM_017835	NM_017835	C21orf59
NM_017836	NM_017836	SLC41A3
NM_017837	NM_017837	PIGV
NM_017838	NM_017838	NOLA2
NM_017839	NM_017839	AYTL1
NM_017840	NM_017840	MRPL16
NM_017841	NM_017841	NA
NM_017842	NM_017842	NA
NM_017843	NM_017843	BCAS4
NM_017844	NM_017844	ANKMY1
NM_017845	NM_017845	COMMD8
NM_017846	NM_017846	TRSPAP1
NM_017847	NM_017847	C1orf27
NM_017849	NM_017849	TMEM127
NM_017850	NM_017850	C1orf109
NM_017851	NM_017851	PARP16
NM_017852	NM_017852	NLRP2
NM_017853	NM_017853	TXNL4B
NM_017854	NM_017854	TMEM160
NM_017855	NM_017855	ODAM
NM_017856	NM_017856	GEMIN8
NM_017857	NM_017857	SSH3
NM_017858	NM_017858	TIPIN
NM_017859	NM_017859	UCKL1
NM_017860	NM_017860	C1orf56
NM_017862	NM_017862	FGFRL1
NM_017863	NM_017863	CXorf48
NM_017864	NM_017864	INTS8
NM_017865	NM_017865	ZNF692
NM_017866	NM_017866	TMEM70
NM_017867	NM_017867	C4orf27
NM_017868	NM_017868	TTC12
NM_017869	NM_017869	BANP
NM_017870	NM_017870	TMEM132A
NM_017871	NM_017871	CPSF3L
NM_017872	NM_017872	THG1L
NM_017873	NM_017873	ASB6
NM_017874	NM_017874	C20orf27
NM_017875	NM_017875	SLC25A38
NM_017876	NM_017876	RNF126
NM_017877	NM_017877	C2orf18
NM_017878	NM_017878	HRASLS2
NM_017880	NM_017880	C2orf42
NM_017881	NM_017881	C9orf95
NM_017882	NM_017882	CLN6
NM_017883	NM_017883	WDR13
NM_017885	NM_017885	HCFC1R1
NM_017886	NM_017886	NA
NM_017887	NM_017887	C1orf123
NM_017888	NM_017888	NA
NM_017890	NM_017890	VPS13B
NM_017891	NM_017891	C1orf159
NM_017892	NM_017892	NA
NM_017893	NM_017893	SEMA4G
NM_017894	NM_017894	ZSCAN2
NM_017895	NM_017895	DDX27
NM_017896	NM_017896	C20orf11
NM_017897	NM_017897	OXSM
NM_017898	NM_017898	MOSC2
NM_017899	NM_017899	TESC
NM_017900	NM_017900	AURKAIP1
NM_017901	NM_017901	NA
NM_017902	NM_017902	HIF1AN
NM_017903	NM_017903	NA
NM_017904	NM_017904	TTC22
NM_017905	NM_017905	TMCO3
NM_017906	NM_017906	PAK1IP1
NM_017907	NM_017907	C11orf59
NM_017908	NM_017908	ZNF446
NM_017909	NM_017909	RMND1
NM_017910	NM_017910	NA
NM_017911	NM_017911	FAM118A
NM_017912	NM_017912	HERC6
NM_017913	NM_017913	CDC37L1
NM_017914	NM_017914	C19orf24
NM_017915	NM_017915	C12orf48
NM_017916	NM_017916	NOP17
NM_017917	NM_017917	C14orf10
NM_017918	NM_017918	CCDC109B
NM_017919	NM_017919	STX17
NM_017920	NM_017920	NA
NM_017921	NM_017921	NPLOC4
NM_017922	NM_017922	PRPF39
NM_017923	NM_017923	NA
NM_017924	NM_017924	C14orf119
NM_017925	NM_017925	DENND4C
NM_017926	NM_017926	C14orf118
NM_017927	NM_017927	MFN1
NM_017928	NM_017928	NA
NM_017929	NM_017929	NA
NM_017931	NM_017931	NA
NM_017932	NM_017932	NA
NM_017933	NM_017933	NA
NM_017934	NM_017934	PHIP
NM_017935	NM_017935	BANK1
NM_017936	NM_017936	SMEK1
NM_017937	NM_017937	NA
NM_017938	NM_017938	FAM70A
NM_017939	NM_017939	NA
NM_017941	NM_017941	C17orf80
NM_017942	NM_017942	BTBD1
NM_017943	NM_017943	FBXO34
NM_017944	NM_017944	USP47
NM_017945	NM_017945	SLC35A5
NM_017946	NM_017946	FKBP14
NM_017947	NM_017947	MOCOS
NM_017948	NM_017948	NOL8
NM_017949	NM_017949	CUEDC1
NM_017950	NM_017950	NA
NM_017952	NM_017952	PTCD3
NM_017953	NM_017953	C1orf181
NM_017954	NM_017954	CADPS2
NM_017955	NM_017955	CDCA4
NM_017956	NM_017956	TRMT12
NM_017957	NM_017957	EPN3
NM_017958	NM_017958	PLEKHB2
NM_017959	NM_017959	NA
NM_017960	NM_017960	NA
NM_017961	NM_017961	NA
NM_017962	NM_017962	NA
NM_017964	NM_017964	NA
NM_017965	NM_017965	SLC7A10
NM_017966	NM_017966	VPS37C
NM_017967	NM_017967	NA
NM_017971	NM_017971	MRPL20
NM_017973	NM_017973	NA
NM_017974	NM_017974	NA
NM_017975	NM_017975	ZWILCH
NM_017976	NM_017976	NA
NM_017977	NM_017977	AIM1L
NM_017979	NM_017979	UNC45A
NM_017980	NM_017980	LIMS2
NM_017982	NM_017982	SUSD4
NM_017983	NM_017983	WIPI1
NM_017984	NM_017984	ZCWPW1
NM_017985	NM_017985	C9orf68
NM_017986	NM_017986	GPR172B
NM_017987	NM_017987	NA
NM_017988	NM_017988	SCYL2
NM_017990	NM_017990	NA
NM_017991	NM_017991	NA
NM_017992	NM_017992	EDEM3
NM_017993	NM_017993	NA
NM_017994	NM_017994	C7orf42
NM_017996	NM_017996	DET1
NM_017998	NM_017998	C9orf40
NM_017999	NM_017999	RNF31
NM_018000	NM_018000	MREG
NM_018001	NM_018001	NA
NM_018002	NM_018002	OXR1
NM_018004	NM_018004	TMEM45A
NM_018005	NM_018005	NA
NM_018006	NM_018006	TRMU
NM_018007	NM_018007	NA
NM_018008	NM_018008	FEZF2
NM_018009	NM_018009	TAPBPL
NM_018010	NM_018010	IFT57
NM_018011	NM_018011	NA
NM_018012	NM_018012	NA
NM_018013	NM_018013	NA
NM_018014	NM_018014	BCL11A
NM_018015	NM_018015	NA
NM_018017	NM_018017	C10orf118
NM_018018	NM_018018	SLC38A4
NM_018019	NM_018019	MED9
NM_018022	NM_018022	TMEM51
NM_018023	NM_018023	NA
NM_018024	NM_018024	C8orf32
NM_018025	NM_018025	GPATCH1
NM_018026	NM_018026	PACS1
NM_018027	NM_018027	FRMD4A
NM_018028	NM_018028	NA
NM_018029	NM_018029	NA
NM_018031	NM_018031	WDR6
NM_018032	NM_018032	LUC7L
NM_018033	NM_018033	NA
NM_018034	NM_018034	WDR70
NM_018035	NM_018035	NA
NM_018036	NM_018036	C14orf103
NM_018037	NM_018037	RALGPS2
NM_018038	NM_018038	NA
NM_018039	NM_018039	JMJD2D
NM_018040	NM_018040	GPATCH2
NM_018041	NM_018041	NA
NM_018042	NM_018042	SLFN12
NM_018043	NM_018043	TMEM16A
NM_018044	NM_018044	NA
NM_018045	NM_018045	BSDC1
NM_018046	NM_018046	AGGF1
NM_018047	NM_018047	RBM22
NM_018048	NM_018048	NA
NM_018049	NM_018049	PLEKHJ1
NM_018050	NM_018050	MANSC1
NM_018051	NM_018051	WDR60
NM_018052	NM_018052	VAC14
NM_018053	NM_018053	XKR8
NM_018054	NM_018054	ARHGAP17
NM_018055	NM_018055	NA
NM_018056	NM_018056	TMEM39B
NM_018057	NM_018057	SLC6A15
NM_018058	NM_018058	CRTAC1
NM_018059	NM_018059	NA
NM_018060	NM_018060	IARS2
NM_018061	NM_018061	PRPF38B
NM_018062	NM_018062	FANCL
NM_018063	NM_018063	NA
NM_018065	NM_018065	NA
NM_018066	NM_018066	ATPBD1B
NM_018067	NM_018067	RPRC1
NM_018068	NM_018068	PIWIL2
NM_018069	NM_018069	CEP192
NM_018070	NM_018070	SSBP3
NM_018071	NM_018071	NA
NM_018072	NM_018072	HEATR1
NM_018073	NM_018073	TRIM68
NM_018074	NM_018074	CCDC94
NM_018075	NM_018075	TMEM16K
NM_018076	NM_018076	NA
NM_018077	NM_018077	RBM28
NM_018078	NM_018078	LARP2
NM_018079	NM_018079	SRBD1
NM_018080	NM_018080	NA
NM_018081	NM_018081	WDR79
NM_018082	NM_018082	POLR3B
NM_018084	NM_018084	KIAA1212
NM_018085	NM_018085	IPO9
NM_018086	NM_018086	FIGN
NM_018087	NM_018087	TMEM48
NM_018088	NM_018088	FAM90A1
NM_018089	NM_018089	ANKZF1
NM_018090	NM_018090	NECAP2
NM_018091	NM_018091	ELP3
NM_018092	NM_018092	NETO2
NM_018093	NM_018093	WDR74
NM_018094	NM_018094	NA
NM_018095	NM_018095	KBTBD4
NM_018096	NM_018096	NLE1
NM_018097	NM_018097	CEP27
NM_018098	NM_018098	ECT2
NM_018099	NM_018099	MLSTD1
NM_018100	NM_018100	EFHC1
NM_018101	NM_018101	CDCA8
NM_018102	NM_018102	ZNF334
NM_018103	NM_018103	LRRC8D
NM_018104	NM_018104	NA
NM_018105	NM_018105	THAP1
NM_018106	NM_018106	ZDHHC4
NM_018107	NM_018107	RBM23
NM_018108	NM_018108	C14orf130
NM_018109	NM_018109	PAPD1
NM_018110	NM_018110	DOK4
NM_018111	NM_018111	NA
NM_018112	NM_018112	TMEM38B
NM_018113	NM_018113	LMBR1L
NM_018114	NM_018114	NA
NM_018115	NM_018115	SDAD1
NM_018116	NM_018116	MSTO1
NM_018117	NM_018117	BRWD2
NM_018118	NM_018118	NA
NM_018119	NM_018119	POLR3E
NM_018120	NM_018120	ARMC1
NM_018121	NM_018121	C10orf6
NM_018122	NM_018122	DARS2
NM_018123	NM_018123	ASPM
NM_018124	NM_018124	RFWD3
NM_018125	NM_018125	ARHGEF10L
NM_018126	NM_018126	TMEM33
NM_018127	NM_018127	ELAC2
NM_018128	NM_018128	TSR1
NM_018129	NM_018129	PNPO
NM_018130	NM_018130	SHQ1
NM_018131	NM_018131	CEP55
NM_018132	NM_018132	CENPQ
NM_018133	NM_018133	MSL2L1
NM_018134	NM_018134	IQCC
NM_018135	NM_018135	MRPS18A
NM_018136	NM_018136	NA
NM_018137	NM_018137	PRMT6
NM_018138	NM_018138	TBCCD1
NM_018139	NM_018139	C14orf104
NM_018140	NM_018140	CEP72
NM_018141	NM_018141	MRPS10
NM_018142	NM_018142	INTS10
NM_018143	NM_018143	KLHL11
NM_018144	NM_018144	SEC61A2
NM_018145	NM_018145	FAM82C
NM_018146	NM_018146	RNMTL1
NM_018147	NM_018147	FAIM
NM_018148	NM_018148	NA
NM_018149	NM_018149	C17orf71
NM_018150	NM_018150	C1orf164
NM_018152	NM_018152	C20orf12
NM_018153	NM_018153	NA
NM_018154	NM_018154	ASF1B
NM_018155	NM_018155	SLC25A36
NM_018156	NM_018156	NA
NM_018157	NM_018157	RIC8B
NM_018158	NM_018158	SLC4A1AP
NM_018159	NM_018159	NUDT11
NM_018161	NM_018161	NADSYN1
NM_018162	NM_018162	NAV2
NM_018163	NM_018163	DNAJC17
NM_018165	NM_018165	NA
NM_018166	NM_018166	C1orf78
NM_018167	NM_018167	BTBD7
NM_018168	NM_018168	C14orf105
NM_018169	NM_018169	C12orf35
NM_018170	NM_018170	NA
NM_018171	NM_018171	NA
NM_018172	NM_018172	NA
NM_018173	NM_018173	PLEKHG6
NM_018174	NM_018174	MAP1S
NM_018175	NM_018175	NA
NM_018176	NM_018176	LGI2
NM_018178	NM_018178	GOLPH3L
NM_018179	NM_018179	ATF7IP
NM_018180	NM_018180	DHX32
NM_018181	NM_018181	ZNF532
NM_018182	NM_018182	C17orf63
NM_018183	NM_018183	NA
NM_018184	NM_018184	ARL8B
NM_018185	NM_018185	DCUN1D2
NM_018186	NM_018186	C1orf112
NM_018187	NM_018187	NA
NM_018188	NM_018188	NA
NM_018189	NM_018189	DPPA4
NM_018190	NM_018190	BBS7
NM_018191	NM_018191	RCBTB1
NM_018192	NM_018192	LEPREL1
NM_018194	NM_018194	HHAT
NM_018195	NM_018195	C11orf57
NM_018196	NM_018196	TMLHE
NM_018197	NM_018197	ZFP64
NM_018198	NM_018198	DNAJC11
NM_018199	NM_018199	EXDL2
NM_018200	NM_018200	HMG20A
NM_018201	NM_018201	TBC1D13
NM_018202	NM_018202	TMEM57
NM_018203	NM_018203	KLHDC8A
NM_018204	NM_018204	CKAP2
NM_018205	NM_018205	LRRC20
NM_018206	NM_018206	VPS35
NM_018207	NM_018207	TRIM62
NM_018208	NM_018208	ETNK2
NM_018209	NM_018209	ARFGAP1
NM_018210	NM_018210	NA
NM_018211	NM_018211	NA
NM_018212	NM_018212	ENAH
NM_018214	NM_018214	LRRC1
NM_018215	NM_018215	NA
NM_018216	NM_018216	PANK4
NM_018217	NM_018217	EDEM2
NM_018219	NM_018219	CCDC87
NM_018221	NM_018221	MOBK1B
NM_018222	NM_018222	PARVA
NM_018223	NM_018223	CHFR
NM_018225	NM_018225	SMU1
NM_018226	NM_018226	RNPEPL1
NM_018227	NM_018227	UBE1L2
NM_018228	NM_018228	C14orf115
NM_018229	NM_018229	C14orf108
NM_018230	NM_018230	NUP133
NM_018231	NM_018231	NA
NM_018233	NM_018233	OGFOD1
NM_018234	NM_018234	STEAP3
NM_018235	NM_018235	CNDP2
NM_018238	NM_018238	AGK
NM_018239	NM_018239	LRRC20
NM_018240	NM_018240	KIRREL
NM_018241	NM_018241	TMEM34
NM_018242	NM_018242	NA
NM_018243	NM_018243	SEPT11
NM_018244	NM_018244	C20orf44
NM_018245	NM_018245	OGDHL
NM_018246	NM_018246	CCDC25
NM_018247	NM_018247	TMEM30A
NM_018248	NM_018248	NEIL3
NM_018249	NM_018249	CDK5RAP2
NM_018250	NM_018250	NA
NM_018252	NM_018252	C1orf75
NM_018253	NM_018253	NA
NM_018254	NM_018254	RCOR3
NM_018255	NM_018255	STATIP1
NM_018256	NM_018256	WDR12
NM_018257	NM_018257	PCMTD2
NM_018259	NM_018259	NA
NM_018260	NM_018260	ZNF701
NM_018261	NM_018261	EXOC1
NM_018262	NM_018262	IFT122
NM_018263	NM_018263	ASXL2
NM_018264	NM_018264	TYW1
NM_018265	NM_018265	C1orf106
NM_018266	NM_018266	TMEM39A
NM_018267	NM_018267	H2AFJ
NM_018268	NM_018268	WDR41
NM_018269	NM_018269	ADI1
NM_018270	NM_018270	C20orf20
NM_018271	NM_018271	NA
NM_018272	NM_018272	CASC1
NM_018273	NM_018273	NA
NM_018274	NM_018274	NA
NM_018275	NM_018275	C7orf43
NM_018277	NM_018277	NA
NM_018278	NM_018278	NA
NM_018279	NM_018279	NA
NM_018280	NM_018280	C22orf26
NM_018281	NM_018281	ECHDC2
NM_018282	NM_018282	NA
NM_018283	NM_018283	NUDT15
NM_018285	NM_018285	IMP3
NM_018286	NM_018286	TMEM100
NM_018287	NM_018287	ARHGAP12
NM_018288	NM_018288	PHF10
NM_018289	NM_018289	VPS53
NM_018290	NM_018290	PGM2
NM_018291	NM_018291	NA
NM_018292	NM_018292	QRSL1
NM_018293	NM_018293	ZNF654
NM_018294	NM_018294	CWF19L1
NM_018295	NM_018295	TMEM140
NM_018296	NM_018296	LRRC36
NM_018297	NM_018297	NGLY1
NM_018298	NM_018298	MCOLN3
NM_018299	NM_018299	UBE2W
NM_018300	NM_018300	ZNF83
NM_018302	NM_018302	C4orf19
NM_018303	NM_018303	EXOC2
NM_018304	NM_018304	NA
NM_018306	NM_018306	TMEM40
NM_018307	NM_018307	RHOT1
NM_018308	NM_018308	ACOXL
NM_018309	NM_018309	TBC1D23
NM_018310	NM_018310	BRF2
NM_018312	NM_018312	SAPS3
NM_018313	NM_018313	NA
NM_018314	NM_018314	UEVLD
NM_018315	NM_018315	FBXW7
NM_018316	NM_018316	KLHL26
NM_018317	NM_018317	TBC1D19
NM_018318	NM_018318	CCDC91
NM_018319	NM_018319	TDP1
NM_018320	NM_018320	RNF121
NM_018321	NM_018321	BXDC2
NM_018322	NM_018322	C6orf64
NM_018323	NM_018323	PI4K2B
NM_018324	NM_018324	OLAH
NM_018326	NM_018326	GIMAP4
NM_018327	NM_018327	NA
NM_018328	NM_018328	NA
NM_018329	NM_018329	NA
NM_018330	NM_018330	KIAA1598
NM_018331	NM_018331	NA
NM_018332	NM_018332	NA
NM_018333	NM_018333	PRPF39
NM_018335	NM_018335	NA
NM_018336	NM_018336	NA
NM_018337	NM_018337	ZNF444
NM_018338	NM_018338	NA
NM_018339	NM_018339	RFK
NM_018340	NM_018340	NA
NM_018342	NM_018342	TMEM144
NM_018343	NM_018343	RIOK2
NM_018344	NM_018344	SLC29A3
NM_018346	NM_018346	RSAD1
NM_018347	NM_018347	C20orf29
NM_018348	NM_018348	NA
NM_018349	NM_018349	NA
NM_018350	NM_018350	NA
NM_018351	NM_018351	FGD6
NM_018352	NM_018352	NA
NM_018353	NM_018353	C14orf106
NM_018354	NM_018354	C20orf46
NM_018355	NM_018355	ZNF415
NM_018356	NM_018356	C5orf22
NM_018357	NM_018357	LARP6
NM_018358	NM_018358	ABCF3
NM_018359	NM_018359	C4orf20
NM_018360	NM_018360	CXorf15
NM_018361	NM_018361	AGPAT5
NM_018362	NM_018362	LIN7C
NM_018363	NM_018363	C10orf59
NM_018364	NM_018364	RSBN1
NM_018365	NM_018365	MNS1
NM_018366	NM_018366	CNO
NM_018367	NM_018367	PHCA
NM_018368	NM_018368	LMBRD1
NM_018370	NM_018370	NA
NM_018371	NM_018371	NA
NM_018372	NM_018372	C1orf103
NM_018373	NM_018373	SYNJ2BP
NM_018374	NM_018374	TMEM106B
NM_018375	NM_018375	SLC39A9
NM_018376	NM_018376	NIPSNAP3B
NM_018378	NM_018378	FBXL8
NM_018379	NM_018379	FAM63A
NM_018380	NM_018380	DDX28
NM_018381	NM_018381	NA
NM_018383	NM_018383	NA
NM_018384	NM_018384	GIMAP5
NM_018386	NM_018386	PCID2
NM_018387	NM_018387	STRBP
NM_018388	NM_018388	MBNL3
NM_018389	NM_018389	SLC35C1
NM_018390	NM_018390	PLCXD1
NM_018391	NM_018391	USP48
NM_018393	NM_018393	TCP11L1
NM_018394	NM_018394	ABHD10
NM_018395	NM_018395	NA
NM_018396	NM_018396	NA
NM_018398	NM_018398	CACNA2D3
NM_018399	NM_018399	VNN3
NM_018400	NM_018400	SCN3B
NM_018401	NM_018401	STK32B
NM_018402	NM_018402	IL26
NM_018403	NM_018403	DCP1A
NM_018404	NM_018404	CENTA2
NM_018407	NM_018407	LAPTM4B
NM_018409	NM_018409	LRP2BP
NM_018410	NM_018410	NA
NM_018412	NM_018412	ST7
NM_018413	NM_018413	CHST11
NM_018416	NM_018416	FOXJ2
NM_018417	NM_018417	NA
NM_018421	NM_018421	TBC1D2
NM_018422	NM_018422	PSD3
NM_018423	NM_018423	STYK1
NM_018427	NM_018427	RRN3
NM_018428	NM_018428	UTP6
NM_018430	NM_018430	TSNAXIP1
NM_018431	NM_018431	DOK5
NM_018432	NM_018432	NA
NM_018433	NM_018433	JMJD1A
NM_018434	NM_018434	RNF130
NM_018436	NM_018436	ALLC
NM_018437	NM_018437	HEMGN
NM_018438	NM_018438	FBXO6
NM_018439	NM_018439	IMPACT
NM_018440	NM_018440	PAG1
NM_018441	NM_018441	PECR
NM_018442	NM_018442	IQWD1
NM_018443	NM_018443	NA
NM_018444	NM_018444	PPM2C
NM_018445	NM_018445	NA
NM_018446	NM_018446	GLT8D1
NM_018447	NM_018447	TMEM111
NM_018448	NM_018448	NA
NM_018449	NM_018449	UBAP2
NM_018450	NM_018450	ARID1A
NM_018451	NM_018451	CENPJ
NM_018452	NM_018452	C6orf35
NM_018453	NM_018453	C14orf11
NM_018454	NM_018454	NUSAP1
NM_018455	NM_018455	CENPN
NM_018456	NM_018456	EAF2
NM_018457	NM_018457	PRR13
NM_018458	NM_018458	WWC3
NM_018459	NM_018459	NA
NM_018460	NM_018460	ARHGAP15
NM_018461	NM_018461	PPP2R2D
NM_018462	NM_018462	NA
NM_018463	NM_018463	ITFG2
NM_018464	NM_018464	ZCD1
NM_018465	NM_018465	C9orf46
NM_018466	NM_018466	ALG13
NM_018467	NM_018467	NA
NM_018468	NM_018468	PSENEN
NM_018469	NM_018469	TEX2
NM_018470	NM_018470	NA
NM_018471	NM_018471	ZC3H15
NM_018472	NM_018472	NA
NM_018473	NM_018473	THEM2
NM_018474	NM_018474	C20orf19
NM_018475	NM_018475	NA
NM_018476	NM_018476	BEX1
NM_018477	NM_018477	ACTR10
NM_018478	NM_018478	NA
NM_018479	NM_018479	ECHDC1
NM_018480	NM_018480	TMEM126B
NM_018481	NM_018481	NA
NM_018482	NM_018482	DDEF1
NM_018484	NM_018484	SLC22A11
NM_018485	NM_018485	GPR77
NM_018486	NM_018486	HDAC8
NM_018487	NM_018487	TMEM176A
NM_018488	NM_018488	TBX4
NM_018489	NM_018489	ASH1L
NM_018490	NM_018490	LGR4
NM_018491	NM_018491	NA
NM_018492	NM_018492	PBK
NM_018494	NM_018494	LRDD
NM_018495	NM_018495	NA
NM_018496	NM_018496	NA
NM_018497	NM_018497	NA
NM_018498	NM_018498	NA
NM_018499	NM_018499	NA
NM_018502	NM_018502	TMCO6
NM_018503	NM_018503	NA
NM_018505	NM_018505	NA
NM_018507	NM_018507	NA
NM_018508	NM_018508	PTPN11
NM_018509	NM_018509	LRRC59
NM_018510	NM_018510	EPS15
NM_018512	NM_018512	NA
NM_018514	NM_018514	NA
NM_018515	NM_018515	NA
NM_018516	NM_018516	NA
NM_018517	NM_018517	NA
NM_018518	NM_018518	MCM10
NM_018519	NM_018519	NA
NM_018520	NM_018520	NA
NM_018521	NM_018521	NA
NM_018522	NM_018522	NA
NM_018523	NM_018523	NA
NM_018524	NM_018524	NA
NM_018526	NM_018526	NA
NM_018527	NM_018527	NA
NM_018528	NM_018528	NA
NM_018529	NM_018529	SEC63
NM_018530	NM_018530	GSDML
NM_018531	NM_018531	NA
NM_018532	NM_018532	NA
NM_018533	NM_018533	NA
NM_018534	NM_018534	NA
NM_018537	NM_018537	NA
NM_018538	NM_018538	ERMAP
NM_018539	NM_018539	NA
NM_018540	NM_018540	NA
NM_018541	NM_018541	NA
NM_018542	NM_018542	NA
NM_018543	NM_018543	NA
NM_018544	NM_018544	NA
NM_018545	NM_018545	PSTPIP2
NM_018546	NM_018546	NA
NM_018547	NM_018547	NA
NM_018548	NM_018548	CSNK1A1
NM_018549	NM_018549	NA
NM_018550	NM_018550	NA
NM_018553	NM_018553	C17orf85
NM_018554	NM_018554	B3GNT2
NM_018555	NM_018555	ZNF331
NM_018556	NM_018556	SIRPG
NM_018557	NM_018557	LRP1B
NM_018558	NM_018558	GABRQ
NM_018559	NM_018559	KIAA1704
